,0
89,"Glenn Beck : FOXNEWS : November 1, 2010 4:00am-5:00am EST"
90,"Geraldo at Large : FOXNEWS : December 13, 2010 1:00am-2:00am EST"
91,"Red Eye : FOXNEWS : June 15, 2011 3:00am-4:00am EDT"
92,"Hannity : FOXNEWS : November 15, 2010 3:00am-4:00am EST"
93,"Geraldo at Large : FOXNEWS : November 7, 2010 12:00am-1:00am EST"
94,"Happening Now : FOXNEWS : November 8, 2011 11:00am-1:00pm EST"
95,"Special Report With Bret Baier : FOXNEWS : April 11, 2012 4:00am-5:00am EDT"
96,"Special Report With Bret Baier : FOXNEWS : May 3, 2012 4:00am-5:00am EDT"
97,"Red Eye : FOXNEWS : September 13, 2009 12:00am-1:00am EDT"
98,"Fox News Reporting : FOXNEWS : November 25, 2010 6:00pm-7:00pm EST"
99,"FOX and Friends Saturday : FOXNEWS : April 16, 2011 6:00am-10:00am EDT"
100,"FOX and Friends Sunday : FOXNEWS : October 9, 2011 6:00am-10:00am EDT"
101,"America Live : FOXNEWS : February 25, 2011 1:00pm-3:00pm EST"
102,"Campaign '08 Fight to the Finish : FOXNEWS : October 24, 2010 9:00pm-10:00pm EDT"
103,"America's Newsroom : FOXNEWS : March 22, 2010 9:00am-11:00am EDT"
104,"Red Eye : FOXNEWS : May 13, 2010 3:00am-4:00am EDT"
105,"Red Eye : FOXNEWS : August 6, 2009 3:00am-4:00am EDT"
106,"Red Eye : FOXNEWS : April 15, 2011 3:00am-4:00am EDT"
107,"Special Report With Bret Baier : FOXNEWS : September 10, 2009 4:00am-5:00am EDT"
108,"America's News HQ : FOXNEWS : September 12, 2010 10:00am-12:00pm EDT"
109,"The O'Reilly Factor : FOXNEWS : October 22, 2010 4:00am-5:00am EST"
110,"Hannity : FOXNEWS : June 5, 2012 9:00pm-10:00pm EDT"
111,"Special Report With Bret Baier : FOXNEWS : April 6, 2012 4:00am-5:00am EDT"
112,"America's Election Headquarters : FOXNEWS : November 4, 2012 8:00pm-9:00pm EST"
113,"Special Report With Bret Baier : FOXNEWS : March 21, 2012 4:00am-5:00am EDT"
114,"Studio B With Shepard Smith : FOXNEWS : October 28, 2010 2:00pm-3:00pm EST"
115,"Special Report With Bret Baier : FOXNEWS : May 10, 2012 4:00am-5:00am EDT"
116,"FOX and Friends : FOXNEWS : April 21, 2011 6:00am-9:00am EDT"
117,"America's Newsroom : FOXNEWS : August 9, 2013 9:00am-11:00am EDT"
118,"The O'Reilly Factor : FOXNEWS : January 10, 2013 4:00am-5:00am EST"
119,"2012 Election : FOXNEWS : April 22, 2012 8:00pm-9:00pm EDT"
120,"Red Eye : FOXNEWS : December 17, 2009 3:00am-4:00am EST"
121,"America's Newsroom : FOXNEWS : August 12, 2013 9:00am-11:00am EDT"
122,"Red Eye : FOXNEWS : February 13, 2010 3:00am-4:00am EST"
123,"Glenn Beck : FOXNEWS : December 13, 2010 5:00am-6:00am EST"
124,"FOX and Friends : FOXNEWS : November 9, 2011 6:00am-9:00am EST"
125,"The O'Reilly Factor : FOXNEWS : December 26, 2010 5:00am-6:00am EST"
126,"Red Eye : FOXNEWS : October 10, 2009 3:00am-4:00am EDT"
127,"FOX and Friends Sunday : FOXNEWS : October 23, 2011 6:00am-10:00am EDT"
128,"Geraldo at Large : FOXNEWS : November 1, 2010 12:00am-1:00am EST"
129,"Campaign '08 Fight to the Finish : FOXNEWS : October 30, 2010 8:00pm-9:00pm EST"
130,"Glenn Beck : FOXNEWS : October 25, 2010 5:00am-6:00am EDT"
131,"Geraldo at Large : FOXNEWS : November 20, 2010 10:00pm-11:00pm EST"
132,"America's News Headquarters : FOXNEWS : January 20, 2013 3:00pm-4:00pm EST"
133,"Glenn Beck : FOXNEWS : November 8, 2010 5:00am-6:00am EST"
134,"Campaign '08 Fight to the Finish : FOXNEWS : November 7, 2010 9:00pm-10:00pm EST"
135,"The FOX Report With Shepard Smith : FOXNEWS : December 23, 2009 7:59pm-8:00pm EST"
136,"Campaign '08 Fight to the Finish : FOXNEWS : October 23, 2010 9:00pm-10:00pm EDT"
137,"Campaign '08 Fight to the Finish : FOXNEWS : December 12, 2010 9:00pm-10:00pm EST"
138,"Special Report With Bret Baier : FOXNEWS : May 11, 2012 4:00am-5:00am EDT"
139,"Fox Files : FOXNEWS : August 13, 2012 1:00am-2:00am EDT"
140,"Fox Files : FOXNEWS : August 13, 2012 4:00am-5:00am EDT"
141,"Red Eye : FOXNEWS : October 26, 2012 3:00am-4:00am EDT"
142,"America's Newsroom : FOXNEWS : July 15, 2013 9:00am-11:00am EDT"
143,"The Journal Editorial Report : FOXNEWS : July 18, 2009 11:00pm-11:30pm EDT"
144,"FOX and Friends First : FOXNEWS : June 6, 2012 5:00am-6:00am EDT"
145,"Geraldo at Large : FOXNEWS : March 20, 2011 1:00am-2:00am EDT"
146,"Special Report With Bret Baier : FOXNEWS : May 22, 2012 4:00am-5:00am EDT"
147,"Geraldo at Large : FOXNEWS : August 8, 2010 4:00am-5:00am EDT"
148,"Special Report With Bret Baier : FOXNEWS : March 27, 2012 4:00am-5:00am EDT"
149,"FOX and Friends Saturday : FOXNEWS : August 21, 2010 7:00am-10:00am EDT"
150,"FOX and Friends Sunday : FOXNEWS : October 16, 2011 6:00am-10:00am EDT"
151,"FOX and Friends Saturday : FOXNEWS : January 9, 2010 7:00am-8:32am EST"
152,"The Five : FOXNEWS : November 3, 2011 2:00am-3:00am EDT"
153,"The O'Reilly Factor : FOXNEWS : April 30, 2012 11:00pm-12:00am EDT"
154,"Huckabee : FOXNEWS : October 31, 2010 7:00pm-8:00pm EST"
155,"Special Report With Bret Baier : FOXNEWS : July 26, 2011 4:00am-5:00am EDT"
156,"FOX and Friends : FOXNEWS : November 8, 2011 6:00am-9:00am EST"
157,"FOX and Friends : FOXNEWS : April 6, 2011 6:00am-9:00am EDT"
158,"The O'Reilly Factor : FOXNEWS : December 28, 2010 8:00pm-9:00pm EST"
159,"Geraldo at Large : FOXNEWS : April 10, 2011 1:00am-2:00am EDT"
160,"Special Report With Bret Baier : FOXNEWS : December 13, 2011 4:00am-5:00am EST"
161,"FOX and Friends : FOXNEWS : March 22, 2010 6:00am-9:00am EDT"
162,"Geraldo at Large : FOXNEWS : January 23, 2011 1:00am-2:00am EST"
163,"The O'Reilly Factor : FOXNEWS : August 26, 2009 5:00am-6:00am EDT"
164,"Special Report With Bret Baier : FOXNEWS : April 27, 2012 4:00am-5:00am EDT"
165,"Red Eye : FOXNEWS : August 5, 2009 3:00am-4:00am EDT"
166,"FOX and Friends Saturday : FOXNEWS : August 15, 2009 7:00am-10:00am EDT"
167,"Red Eye : FOXNEWS : September 14, 2013 3:00am-4:00am EDT"
168,"FOX and Friends Saturday : FOXNEWS : October 31, 2009 7:00am-10:00am EDT"
169,"Special Report With Bret Baier : FOXNEWS : July 6, 2011 4:00am-5:00am EDT"
170,"The Journal Editorial Report : FOXNEWS : October 15, 2011 2:00pm-2:30pm EDT"
171,"The Live Desk : FOXNEWS : July 3, 2009 1:00pm-3:00pm EDT"
172,"Special Report With Bret Baier : FOXNEWS : February 19, 2011 4:00am-5:00am EST"
173,"Geraldo at Large : FOXNEWS : May 8, 2011 1:00am-2:00am EDT"
174,"Red Eye : FOXNEWS : October 8, 2009 3:00am-3:57am EDT"
175,"Geraldo at Large : FOXNEWS : April 24, 2011 1:00am-2:00am EDT"
176,"Special Report With Bret Baier : FOXNEWS : March 30, 2012 4:00am-5:00am EDT"
177,"America's Newsroom : FOXNEWS : November 7, 2011 9:00am-11:00am EST"
178,"Geraldo at Large : FOXNEWS : February 6, 2011 1:00am-2:00am EST"
179,"America's Newsroom : FOXNEWS : October 10, 2011 9:00am-11:00am EDT"
180,"Happening Now : FOXNEWS : October 19, 2011 11:00am-1:00pm EDT"
181,"Red Eye : FOXNEWS : December 23, 2011 3:00am-4:00am EST"
182,"FOX and Friends Saturday : FOXNEWS : July 4, 2009 7:00am-10:00am EDT"
183,"Your World With Neil Cavuto : FOXNEWS : July 15, 2009 4:00pm-5:00pm EDT"
184,"Geraldo at Large : FOXNEWS : December 20, 2010 1:00am-2:00am EST"
185,"FOX and Friends Saturday : FOXNEWS : January 23, 2010 7:00am-9:59am EST"
186,"Geraldo at Large : FOXNEWS : December 19, 2010 1:00am-2:00am EST"
187,"Red Eye : FOXNEWS : August 3, 2011 3:00am-4:00am EDT"
188,"Glenn Beck : FOXNEWS : January 8, 2011 3:00pm-4:00pm EST"
189,"FOX and Friends Saturday : FOXNEWS : August 29, 2009 7:00am-10:00am EDT"
190,"Red Eye : FOXNEWS : September 25, 2009 3:00am-4:00am EDT"
191,"FOX and Friends Sunday : FOXNEWS : July 11, 2010 7:00am-10:00am EDT"
192,"Bulls and Bears : FOXNEWS : March 22, 2010 4:00am-4:30am EDT"
193,"FOX and Friends Saturday : FOXNEWS : January 2, 2010 7:00am-9:59am EST"
194,"FOX and Friends : FOXNEWS : July 31, 2009 6:00am-9:00am EDT"
195,"Hannity : FOXNEWS : November 1, 2010 2:00am-3:00am EST"
196,"Geraldo at Large : FOXNEWS : November 18, 2012 1:00am-2:00am EST"
197,"Hannity : FOXNEWS : December 3, 2010 12:00am-1:00am EST"
198,"Geraldo at Large : FOXNEWS : April 3, 2011 1:00am-2:00am EDT"
199,"The FOX Report With Shepard Smith : FOXNEWS : November 26, 2009 7:00pm-8:00pm EST"
200,"FOX and Friends Saturday : FOXNEWS : May 28, 2011 6:00am-10:00am EDT"
201,"Red Eye : FOXNEWS : October 4, 2011 3:00am-4:00am EDT"
202,"America's Newsroom : FOXNEWS : August 21, 2013 9:00am-11:00am EDT"
203,"America's Newsroom : FOXNEWS : July 3, 2009 9:00am-11:00am EDT"
204,"Special Report With Bret Baier : FOXNEWS : October 6, 2011 6:00pm-7:00pm EDT"
205,"Happening Now : FOXNEWS : November 3, 2011 11:00am-1:00pm EDT"
206,"Red Eye : FOXNEWS : July 5, 2009 12:00am-1:00am EDT"
207,"Geraldo at Large : FOXNEWS : May 15, 2011 1:00am-2:00am EDT"
208,"America's Newsroom : FOXNEWS : November 2, 2011 9:00am-10:59am EDT"
209,"Happening Now : FOXNEWS : October 28, 2011 11:00am-1:00pm EDT"
210,"The O'Reilly Factor : FOXNEWS : July 6, 2009 8:00pm-9:00pm EDT"
211,"Special Report With Bret Baier : FOXNEWS : April 18, 2012 4:00am-5:00am EDT"
212,"America's Newsroom : FOXNEWS : April 11, 2011 9:00am-11:00am EDT"
213,"Geraldo at Large : FOXNEWS : January 30, 2011 1:00am-2:00am EST"
214,"FOX and Friends : FOXNEWS : October 17, 2011 6:00am-9:00am EDT"
215,"Geraldo at Large : FOXNEWS : February 10, 2013 1:00am-2:00am EST"
216,"Hannity : FOXNEWS : December 13, 2010 3:00am-4:00am EST"
217,"America Live : FOXNEWS : September 30, 2011 1:00pm-3:00pm EDT"
218,"America's News HQ : FOXNEWS : September 12, 2009 12:00pm-2:00pm EDT"
219,"Geraldo at Large : FOXNEWS : September 20, 2010 1:00am-2:00am EDT"
220,"America's Newsroom : FOXNEWS : June 5, 2013 9:00am-11:00am EDT"
221,"FOX and Friends Saturday : FOXNEWS : July 24, 2010 7:00am-10:00am EDT"
222,"Geraldo at Large : FOXNEWS : February 27, 2011 1:00am-2:00am EST"
223,"America's Newsroom : FOXNEWS : October 18, 2011 9:00am-11:00am EDT"
224,"The FOX Report With Shepard Smith : FOXNEWS : July 2, 2009 7:00pm-8:00pm EDT"
225,"FOX and Friends Sunday : FOXNEWS : July 25, 2010 7:00am-10:00am EDT"
226,"2010 Mid-Term... : FOXNEWS : November 2, 2010 8:00pm-9:00pm EST"
227,"Geraldo at Large : FOXNEWS : February 3, 2013 1:00am-2:00am EST"
228,"FOX and Friends Saturday : FOXNEWS : September 26, 2009 7:00am-10:00am EDT"
229,"FOX and Friends : FOXNEWS : June 28, 2011 6:00am-9:00am EDT"
230,"FOX and Friends Saturday : FOXNEWS : October 15, 2011 6:00am-10:00am EDT"
231,"Special Report With Bret Baier : FOXNEWS : July 2, 2009 6:16pm-7:00pm EDT"
232,"2010 Mid-Term... : FOXNEWS : November 2, 2010 11:00pm-12:00am EST"
233,"Studio B With Shepard Smith : FOXNEWS : August 6, 2012 3:00pm-4:00pm EDT"
234,"FOX Report : FOXNEWS : December 31, 2010 7:00pm-8:00pm EST"
235,"FOX and Friends Saturday : FOXNEWS : July 9, 2011 6:00am-10:00am EDT"
236,"The FOX Report With Shepard Smith : FOXNEWS : May 24, 2011 7:00pm-8:00pm EDT"
237,"Happening Now : FOXNEWS : October 26, 2011 11:00am-1:00pm EDT"
238,"Special Report With Bret Baier : FOXNEWS : July 7, 2009 6:00pm-6:29pm EDT"
239,"FOX and Friends : FOXNEWS : June 23, 2011 6:00am-9:00am EDT"
240,"America Live : FOXNEWS : October 18, 2011 1:00pm-3:00pm EDT"
241,"Happening Now : FOXNEWS : July 3, 2009 11:00am-1:00pm EDT"
242,"FOX and Friends Saturday : FOXNEWS : October 17, 2009 7:00am-10:00am EDT"
243,"Hannity : FOXNEWS : July 2, 2009 9:00pm-10:00pm EDT"
244,"Geraldo at Large : FOXNEWS : April 11, 2010 1:00am-2:00am EDT"
245,"FOX and Friends Saturday : FOXNEWS : June 12, 2010 7:00am-10:00am EDT"
246,"FOX and Friends : FOXNEWS : August 5, 2011 6:00am-9:00am EDT"
247,"FOX and Friends Sunday : FOXNEWS : August 2, 2009 6:00am-10:00am EDT"
248,"FOX and Friends Sunday : FOXNEWS : May 2, 2010 7:00am-10:00am EDT"
249,"FOX and Friends : FOXNEWS : September 9, 2009 6:00am-9:00am EDT"
250,"FOX and Friends Saturday : FOXNEWS : April 9, 2011 6:00am-10:00am EDT"
251,"Geraldo at Large : FOXNEWS : July 10, 2011 1:00am-2:00am EDT"
252,"Your World With Neil Cavuto : FOXNEWS : December 3, 2009 4:06pm-4:09pm EST"
253,"Happening Now : FOXNEWS : October 6, 2011 11:00am-1:00pm EDT"
254,"America's Newsroom : FOXNEWS : September 14, 2010 9:00am-11:00am EDT"
255,"Glenn Beck : FOXNEWS : July 3, 2009 2:00am-3:00am EDT"
256,"FOX and Friends Sunday : FOXNEWS : August 9, 2009 7:00am-10:00am EDT"
257,"FOX and Friends Saturday : FOXNEWS : October 1, 2011 6:00am-10:00am EDT"
258,"FOX and Friends Saturday : FOXNEWS : November 5, 2011 6:00am-10:00am EDT"
259,"Geraldo at Large : FOXNEWS : January 24, 2010 4:00am-5:00am EST"
260,"Your World With Neil Cavuto : FOXNEWS : September 30, 2009 4:00pm-5:00pm EDT"
261,"FOX and Friends First : FOXNEWS : March 23, 2012 5:00am-6:00am EDT"
262,"FOX and Friends Sunday : FOXNEWS : August 22, 2010 7:00am-10:00am EDT"
263,"FOX and Friends : FOXNEWS : October 5, 2011 6:00am-9:00am EDT"
264,"FOX and Friends : FOXNEWS : November 4, 2011 6:00am-9:00am EDT"
265,"Red Eye : FOXNEWS : September 28, 2009 12:00am-1:00am EDT"
266,"Happening Now : FOXNEWS : November 1, 2011 11:00am-1:00pm EDT"
267,"America's Newsroom : FOXNEWS : November 3, 2010 8:00am-10:00am EST"
268,"Geraldo at Large : FOXNEWS : July 24, 2011 1:00am-2:00am EDT"
269,"Hannity : FOXNEWS : October 7, 2011 12:00am-1:00am EDT"
270,"Geraldo at Large : FOXNEWS : October 28, 2012 1:00am-2:00am EDT"
271,"America Live : FOXNEWS : October 14, 2011 1:00pm-3:00pm EDT"
272,"FOX and Friends Sunday : FOXNEWS : April 10, 2011 7:00am-10:00am EDT"
273,"America's Newsroom : FOXNEWS : October 21, 2011 9:00am-11:00am EDT"
274,"America's Newsroom : FOXNEWS : July 12, 2012 9:00am-11:00am EDT"
275,"FOX and Friends : FOXNEWS : July 22, 2009 6:00am-9:00am EDT"
276,"FOX and Friends : FOXNEWS : October 7, 2011 6:00am-9:00am EDT"
277,"FOX and Friends : FOXNEWS : April 13, 2011 6:00am-9:00am EDT"
278,"FOX and Friends : FOXNEWS : October 24, 2011 6:00am-9:00am EDT"
279,"The O'Reilly Factor : FOXNEWS : November 4, 2011 11:00pm-12:00am EDT"
280,"America's Newsroom : FOXNEWS : October 20, 2011 9:00am-11:00am EDT"
281,"America's Newsroom : FOXNEWS : December 28, 2010 9:00am-11:00am EST"
282,"The FOX Report With Shepard Smith : FOXNEWS : March 14, 2011 7:00pm-8:00pm EDT"
283,"FOX and Friends Sunday : FOXNEWS : October 30, 2011 6:00am-10:00am EDT"
284,"FOX and Friends Sunday : FOXNEWS : July 18, 2010 7:00am-10:00am EDT"
285,"Red Eye : FOXNEWS : November 29, 2009 12:00am-1:00am EST"
286,"Happening Now : FOXNEWS : April 5, 2011 11:00am-1:00pm EDT"
287,"Happening Now : FOXNEWS : October 25, 2011 11:00am-1:00pm EDT"
288,"Glenn Beck : FOXNEWS : October 3, 2009 2:00am-3:00am EDT"
289,"Happening Now : FOXNEWS : October 17, 2011 11:00am-1:00pm EDT"
290,"FOX and Friends : FOXNEWS : October 31, 2011 6:00am-9:00am EDT"
291,"The O'Reilly Factor : FOXNEWS : January 1, 2010 11:00pm-12:00am EST"
292,"Red Eye : FOXNEWS : February 10, 2010 3:00am-4:00am EST"
293,"FOX and Friends Sunday : FOXNEWS : July 5, 2009 7:00am-10:00am EDT"
294,"America Live : FOXNEWS : November 8, 2011 1:00pm-3:00pm EST"
295,"Happening Now : FOXNEWS : May 14, 2012 11:00am-1:00pm EDT"
296,"The FOX Report With Shepard Smith : FOXNEWS : July 29, 2009 7:00pm-8:00pm EDT"
297,"America's Newsroom : FOXNEWS : May 17, 2011 9:00am-11:00am EDT"
298,"FOX News Sunday With Chris Wallace : FOXNEWS : October 17, 2011 2:00am-3:00am EDT"
299,"Happening Now : FOXNEWS : April 1, 2010 11:00am-1:00pm EDT"
300,"America's Newsroom : FOXNEWS : March 22, 2011 9:00am-11:00am EDT"
301,"America's Newsroom : FOXNEWS : April 18, 2011 9:00am-11:00am EDT"
302,"America's News Headquarters : FOXNEWS : October 23, 2011 12:00pm-2:00pm EDT"
303,"FOX and Friends First : FOXNEWS : April 12, 2012 5:00am-6:00am EDT"
304,"Cavuto on Business : FOXNEWS : July 18, 2009 10:30am-11:00am EDT"
305,"FOX and Friends Saturday : FOXNEWS : March 12, 2011 7:00am-10:00am EST"
306,"FOX and Friends : FOXNEWS : April 7, 2011 6:00am-9:00am EDT"
307,"Happening Now : FOXNEWS : April 11, 2011 11:00am-1:00pm EDT"
308,"FOX and Friends : FOXNEWS : July 7, 2009 6:00am-9:00am EDT"
309,"FOX Report : FOXNEWS : January 8, 2011 7:00pm-8:00pm EST"
310,"Happening Now : FOXNEWS : October 18, 2011 11:00am-1:00pm EDT"
311,"Geraldo at Large : FOXNEWS : June 12, 2011 5:00am-6:00am EDT"
312,"The O'Reilly Factor : FOXNEWS : November 7, 2011 8:00pm-9:00pm EST"
313,"The Journal Editorial Report : FOXNEWS : December 19, 2009 2:00pm-2:30pm EST"
314,"Happening Now : FOXNEWS : October 5, 2011 11:00am-1:00pm EDT"
315,"FOX and Friends Saturday : FOXNEWS : September 8, 2012 6:00am-10:00am EDT"
316,"Sky News Today : FOXNEWS : April 27, 2011 5:00am-6:00am EDT"
317,"Red Eye : FOXNEWS : October 1, 2011 3:00am-4:00am EDT"
318,"The O'Reilly Factor : FOXNEWS : March 14, 2012 5:00am-6:00am EDT"
319,"Geraldo at Large : FOXNEWS : June 20, 2010 4:00am-5:00am EDT"
320,"Happening Now : FOXNEWS : January 5, 2010 11:00am-1:00pm EST"
321,"Hannity : FOXNEWS : January 13, 2010 12:00am-1:00am EST"
322,"Red Eye : FOXNEWS : July 2, 2010 3:00am-4:00am EDT"
323,"FOX and Friends Sunday : FOXNEWS : September 19, 2010 7:00am-10:00am EDT"
324,"The FOX Report With Shepard Smith : FOXNEWS : July 3, 2009 7:00pm-8:00pm EDT"
325,"The Five : FOXNEWS : November 6, 2011 4:00am-6:00am EST"
326,"Happening Now : FOXNEWS : July 6, 2009 11:00am-1:00pm EDT"
327,"FOX and Friends Sunday : FOXNEWS : July 19, 2009 7:00am-10:00am EDT"
328,"Happening Now : FOXNEWS : September 9, 2009 11:00am-1:00pm EDT"
329,"e\data\FOXNEWS_20090914_000000_Huckabee.user-data : FOXNEWS : September 13, 2009 8:00pm-8:41pm EDT"
